종_한글명,사육_난이도_5단계,초기비용_등급_5단계,성체크기_등급_3단계,온도습도_5단계,활동패턴,식성타입,먹이빈도_등급,핸들링적합도_5단계,사육장_사이즈_3단계,외형태그,종류,관상용_애완용,사진_URL
크레스티드 게코,1,1,1,1,야행성,잡식,3,3,2,"귀엽고, 화려하다",게코,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Crested_gecko.jpg
이스턴 블루텅 스킨크,2,3,2,3,주행성,잡식,1,4,3,"귀엽고, 멋지다",도마뱀,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Eastern_blue_tongued_lizard.jpg
블루테일 데이 게코,4,2,1,4,주행성,잡식,3,1,2,귀엽고 화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Blue-tailed_day_gecko_%28Phelsuma_cepediana%29%2C_Black_River%2C_Mauritius.jpg
리키에너스,1,3,2,1,야행성,잡식,3,4,2,귀엽다,게코,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Rhacodactylus_leachianus.jpg
가고일게코,1,1,1,1,야행성,잡식,3,4,2,귀엽고 화려하다,게코,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Rhacodactylus_auriculatus.jpg
팻테일게코,1,1,1,2,야행성,육식,3,4,2,귀엽다,게코,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Hemitheconyx_caudicinctus.jpg
레오파드게코,1,1,1,2,야행성,육식,3,4,2,귀엽고 화려하다,게코,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Eublepharis_macularius_02.JPG
자이언트 데이 게코,3,2,2,4,주행성,잡식,3,1,3,귀엽고 화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Phelsuma_grandis_-_5536.jpg
골든더스트데이게코,2,2,1,4,주행성,잡식,3,1,2,귀엽고 화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Gold_dust_day_gecko.JPG
레드아이아머드스킨크,5,3,1,2,야행성,육식,3,2,2,"멋있고, 화려하다",도마뱀,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Tribolonotus_gracilis_in_hand.jpg
모어닝게코,1,1,1,1,야행성,잡식,3,1,2,귀엽다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Lepidodactylus_lugubris_120533707.jpg
비어디드래곤,2,3,2,4,주행성,잡식,3,4,3,멋있다,도마뱀,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Pogona_vitticeps.jpg
블랙스롯모니터,5,5,3,4,주행성,육식,1,4,3,멋있다,도마뱀,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Varanus_albigularis.jpg
사바나모니터,5,5,3,4,주행성,육식,1,4,3,멋있다,도마뱀,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Varanus_exanthematicus.jpg
블루테구,5,5,3,4,주행성,육식,3,4,3,멋있다,도마뱀,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Blueteguspiral.jpg
레드테구,5,5,3,4,주행성,육식,3,4,3,멋있다,도마뱀,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Red_Tegu_%28Salvator_rufescens%29.jpg
아르헨티나테구,5,5,3,4,주행성,육식,3,4,3,멋있다,도마뱀,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Argentine_black_and_white_tegu_%28Salvator_merianae%29_male_Vicente_Lopez.jpg
랜킨스드래곤,2,3,2,4,주행성,잡식,3,3,2,멋있다,도마뱀,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Pogona_henrylawsoni.jpg
사타닉리프테일게코,4,5,1,4,야행성,육식,3,2,2,화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Satanic_leaf-tailed_gecko_%28Uroplatus_phantasticus%29_Ranomafana_2.jpg
할마헤라 자이언트게코,3,3,1,3,야행성,잡식,3,2,2,화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Halmahera_giant_gecko_at_Tampa_Repticon%2C_Feb_2020_%28cropped%29.jpg
토케이게코,3,2,2,4,야행성,육식,3,3,3,귀엽고 화려하다,게코,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Tokay_gecko_%28Gekko_gecko%29.jpg
납테일게코,2,1,1,4,야행성,육식,3,2,2,귀엽고 화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Nephrurus_amyae_1.jpg
사라신게코,2,5,1,3,야행성,잡식,3,3,2,귀엽고 화려하다,게코,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Rhacodactylus_sarasinorum.jpg
드워프썬게이저,2,3,1,3,주행성,육식,3,3,2,"멋있고, 화려하다",도마뱀,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Cordylus_tropidosternum.jpg
카멜레온게코,2,3,1,3,야행성,육식,3,2,2,귀엽고 화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Eurydactylodes_agricolae.jpg
그린 이구아나,5,3,3,5,주행성,초식,5,4,3,멋있다,도마뱀,애완용,https://i.namu.wiki/i/ZZvnYcJfaDX5sKFZtZermYA0VOiPduEjHO6QRBZSVBYer-Qg5t4AQM65fUkq2g11XGJceCbVQHUUdqfRjhBmYDABYcNjSXC3ZmvSjUYA-6dsMlkWaDZKvWzlUcHhM6bLjMgNEOd1JI4yBqiXdkBF7Q.jpg
레드 이구아나,5,3,3,5,주행성,초식,5,4,3,멋있다,도마뱀,애완용,https://newrunreptile.co.kr/web/product/big/202504/5ca162dfa754baae4c14f3697e1cc904.jpg
액키모니터,3,3,3,4,주행성,잡식,1,3,3,귀엽다,도마뱀,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Varanus_acanthurus_0zz.jpg
네온데이게코,2,3,1,2,주행성,잡식,2,2,1,귀엽고 화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Neon_Day_Gecko_%28Phelsuma_klemmeri%29.jpg
레오파드육지거북,4,4,3,3,주행성,초식,5,4,3,귀엽고 화려하다,육지 거북,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Leopard_Tortoise_%28Stigmochelys_pardalis%29_%2817331907085%29.jpg
골든그리스육지거북,3,3,2,2,주행성,초식,5,4,2,화려하다,육지 거북,애완용,https://postfiles.pstatic.net/MjAyNDA1MTVfOTkg/MDAxNzE1NzEyMzY5MTI0.BI6inpeYJqvYy9qq1AO_UXAoZqecIF7QCMMyJtR9DDAg.znWH_JIBa784yXmcZFxi9xernOB1bdti1v0nRVRlgScg.JPEG/KakaoTalk_20240515_033452592_17.jpg?type=w966
다이아몬드백테라핀,3,5,2,4,주행성,잡식,5,3,2,화려하다,반수생 거북,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Malaclemys_terrapin_%28diamondback_terrapin%29_1_%2815697462306%29.jpg
패닌슐라,2,2,2,4,주행성,잡식,5,3,3,귀엽고 화려하다,수생 거북,관상용,https://i.namu.wiki/i/DuUMaS5mOH9xL7AxfecAeZqsMUm8t_0C9VTJa4zyH5xxiqF-HCN0G19z3RQpr1yB8IhC8cebL159QF5vhei3QJo3yhXuDo9MYo-zQrFgwezpF7ZUjA99kjuWQV4US5e5T8yGadQ-Xfy0iRJwwMgasA.webp
뱀목거북,3,3,2,3,주행성,잡식,5,2,3,화려하다,수생 거북,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Chelodina_longicollis_5zz.jpg
그리스육지거북,3,3,2,2,주행성,초식,5,4,3,멋있다,육지 거북,애완용,https://upload.wikimedia.org/wikipedia/commons/7/75/Greek_Tortoise_001.jpg
차화게코,1,3,1,2,야행성,육식,3,3,2,귀엽다,게코,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Rhacodactylus_chahoua.jpg
플라잉게코,1,2,1,2,야행성,육식,3,3,2,귀엽다,게코,애완용,https://i.namu.wiki/i/H4nyeRA2tOtZtbhudRcWYU_8hBu0Ug3ZPph_RqAqwQ6njgdQCjat5QjZvGXKWmNIxtzQ5mtTb1OgnsaQrqjAlNpm3NCygLyVce06HNRA4FH4TPRUdcGAT4H6276R84auT95z39QHKug0ZxW3c-gA_g.webp
레드풋육지거북,3,3,1,3,주행성,잡식,5,3,3,화려하다,육지 거북,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Geochelone_carbonaria_01.jpg
동헤르만육지거북,2,3,1,2,주행성,초식,5,3,3,화려하다,육지 거북,애완용,https://i.namu.wiki/i/JUJli7k0EfsbqGZi1fo55VfXp3HI2HmGBR0zOVy8CE7QkcG2AjZVgZT0240zdHT-0M4kBawMJuMmwyAHty1QnA.webp
부쉬벨트레인프록,4,2,1,2,야행성,육식,4,1,1,귀엽다,개구리,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Bushveld_Rain_Frog_%28Breviceps_adspersus%29_%286017829257%29.jpg
픽시프록,3,1,1,3,야행성,육식,4,2,2,귀엽다,개구리,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Pyxicephalus_adspersus_1zz.jpg
팩맨프록,3,1,1,3,야행성,육식,2,2,2,귀엽다,개구리,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Adult_pacman_frog.jpg
다트프록,5,3,1,4,주행성,육식,5,1,2,귀엽고 화려하다,개구리,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Poison_Dart_Frog_%28Dendrobates_tinctorius%29.jpg
아홀로틀,2,1,1,3,야행성,육식,3,1,2,귀엽고 화려하다,도롱뇽,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Axolotl_IMG1691.jpg
타이거셀러만다,2,1,1,2,야행성,육식,3,2,2,귀엽다,도롱뇽,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Tiger_salamander.jpg
히말라야뉴트,3,2,1,3,야행성,육식,3,2,2,귀엽다,도롱뇽,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Tylototriton_verrucosus_-held_in_hand-8a.jpg
엠페러뉴트,2,2,1,3,야행성,육식,3,2,2,귀엽다,도롱뇽,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Emperor_Newt_%282221580367%29.jpg
듄게코,2,1,1,2,야행성,육식,3,3,1,귀엽다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Egyptian_Sand_Gecko_%28Stenodactylus_petrii%29%2C_Karamis%2C_Egypt.jpg
